"DATE","SIDO_ADDR","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
2020-06-29 00:00:00,서울특별시,27975,18832,14643,13332,47.66
2020-06-29 00:00:00,경기도,10268,6759,5385,4883,47.56
2020-06-29 00:00:00,인천광역시,1661,1076,907,754,45.39
2020-06-29 00:00:00,서울,1377,1037,777,600,43.57
2020-06-29 00:00:00,충청남도,1269,791,638,631,49.72
2020-06-29 00:00:00,경상북도,1150,699,561,589,51.22
2020-06-29 00:00:00,강원도,961,624,513,448,46.62
2020-06-29 00:00:00,경상남도,895,533,428,467,52.18
2020-06-29 00:00:00,,654,505,414,240,36.7
2020-06-29 00:00:00,충청북도,766,472,413,353,46.08
2020-06-29 00:00:00,전라북도,742,454,361,381,51.35
2020-06-29 00:00:00,전라남도,735,434,369,366,49.8
2020-06-29 00:00:00,부산광역시,729,426,361,368,50.48
2020-06-29 00:00:00,대전광역시,629,392,315,314,49.92
2020-06-29 00:00:00,경기,437,325,231,206,47.14
2020-06-29 00:00:00,광주광역시,459,274,220,239,52.07
2020-06-29 00:00:00,대구광역시,437,268,208,229,52.4
2020-06-29 00:00:00,제주특별자치도,380,225,209,171,45
2020-06-29 00:00:00,울산광역시,307,184,150,157,51.14
2020-06-29 00:00:00,세종특별자치시,228,145,113,115,50.44
2020-06-29 00:00:00,인천광역,94,70,46,48,51.06
2020-06-29 00:00:00,충남,60,44,29,31,51.67
2020-06-29 00:00:00,인천,51,40,27,24,47.06
2020-06-29 00:00:00,경북,54,36,34,20,37.04
2020-06-29 00:00:00,강원,38,28,20,18,47.37
2020-06-29 00:00:00,경남,35,22,16,19,54.29
2020-06-29 00:00:00,전북,32,19,7,25,78.13
2020-06-29 00:00:00,부산광역,24,18,16,8,33.33
2020-06-29 00:00:00,광주광역,24,18,14,10,41.67
2020-06-29 00:00:00,충북,26,17,16,10,38.46
2020-06-29 00:00:00,전남,22,13,5,17,77.27
2020-06-29 00:00:00,대구,14,10,5,9,64.29
2020-06-29 00:00:00,대전광역,13,10,10,3,23.08
2020-06-29 00:00:00,대전,16,10,6,10,62.5
2020-06-29 00:00:00,부산,11,9,4,7,63.64
2020-06-29 00:00:00,대구광역,11,9,7,4,36.36
2020-06-29 00:00:00,★★★★★★★★,11,9,2,9,81.82
2020-06-29 00:00:00,광주,10,8,7,3,30
2020-06-29 00:00:00,울산,6,5,5,1,16.67
2020-06-29 00:00:00,제주,7,4,4,3,42.86
2020-06-29 00:00:00,남,5,4,3,2,40
2020-06-29 00:00:00,울산광역,5,3,2,3,60
2020-06-29 00:00:00,제주도,4,3,2,2,50
2020-06-29 00:00:00,기,3,3,3,0,0
2020-06-29 00:00:00,울,3,3,3,0,0
2020-06-29 00:00:00,서울강북구,3,2,1,2,66.67
2020-06-29 00:00:00,서울시,2,2,1,1,50
2020-06-29 00:00:00,북,1,1,1,0,0
2020-06-29 00:00:00,주,2,1,0,2,100
2020-06-29 00:00:00,광주시,2,1,1,1,50
2020-06-29 00:00:00,천,1,1,1,0,0
2020-06-29 00:00:00,대동@,1,1,1,0,0
2020-07-06 00:00:00,서울특별시,48380,30676,26498,21882,45.23
2020-07-06 00:00:00,경기도,17809,11061,9787,8022,45.04
2020-07-06 00:00:00,,6854,6632,694,6160,89.87
2020-07-06 00:00:00,서울,2607,1886,1361,1246,47.79
2020-07-06 00:00:00,인천광역시,2958,1788,1627,1331,45
2020-07-06 00:00:00,충청남도,2197,1342,1202,995,45.29
2020-07-06 00:00:00,경상북도,1995,1108,1026,969,48.57
2020-07-06 00:00:00,강원도,1737,1046,904,833,47.96
2020-07-06 00:00:00,경상남도,1555,891,811,744,47.85
2020-07-06 00:00:00,충청북도,1303,768,708,595,45.66
2020-07-06 00:00:00,전라남도,1328,719,687,641,48.27
2020-07-06 00:00:00,전라북도,1217,699,662,555,45.6
2020-07-06 00:00:00,부산광역시,1260,688,621,639,50.71
2020-07-06 00:00:00,대전광역시,1056,627,562,494,46.78
2020-07-06 00:00:00,경기,818,579,437,381,46.58
2020-07-06 00:00:00,대구광역시,861,509,445,416,48.32
2020-07-06 00:00:00,광주광역시,844,454,411,433,51.3
2020-07-06 00:00:00,제주특별자치도,740,370,367,373,50.41
2020-07-06 00:00:00,울산광역시,452,253,220,232,51.33
2020-07-06 00:00:00,세종특별자치시,343,199,179,164,47.81
2020-07-06 00:00:00,인천광역,157,107,81,76,48.41
2020-07-06 00:00:00,인천,126,88,71,55,43.65
2020-07-06 00:00:00,충남,105,71,53,52,49.52
2020-07-06 00:00:00,경북,81,52,38,43,53.09
2020-07-06 00:00:00,강원,72,48,39,33,45.83
2020-07-06 00:00:00,경남,51,38,23,28,54.9
2020-07-06 00:00:00,부산광역,52,33,26,26,50
2020-07-06 00:00:00,광주광역,41,29,24,17,41.46
2020-07-06 00:00:00,전북,46,28,27,19,41.3
2020-07-06 00:00:00,대전광역,34,26,13,21,61.76
2020-07-06 00:00:00,충북,35,23,19,16,45.71
2020-07-06 00:00:00,부산,33,19,17,16,48.48
2020-07-06 00:00:00,대구광역,27,18,13,14,51.85
2020-07-06 00:00:00,전남,28,17,16,12,42.86
2020-07-06 00:00:00,대구,33,17,8,25,75.76
2020-07-06 00:00:00,광주,23,17,17,6,26.09
2020-07-06 00:00:00,★★★★★★★★,21,16,11,10,47.62
2020-07-06 00:00:00,대전,27,13,14,13,48.15
2020-07-06 00:00:00,울산,17,11,10,7,41.18
2020-07-06 00:00:00,제주도,12,11,9,3,25
2020-07-06 00:00:00,제주,23,11,6,17,73.91
2020-07-06 00:00:00,울산광역,17,10,3,14,82.35
2020-07-06 00:00:00,울,12,9,6,6,50
2020-07-06 00:00:00,서울강북구,15,7,3,12,80
2020-07-06 00:00:00,기,7,5,4,3,42.86
2020-07-06 00:00:00,전,2,1,0,2,100
2020-07-06 00:00:00,서울시,2,1,0,2,100
2020-07-06 00:00:00,주,1,1,1,0,0
2020-07-06 00:00:00,북,2,1,0,2,100
2020-07-06 00:00:00,강서구,3,1,0,3,100
2020-07-06 00:00:00,원,1,1,1,0,0
2020-07-06 00:00:00,강북구,1,1,1,0,0
2020-07-06 00:00:00,광주시,1,1,1,0,0
2020-07-13 00:00:00,서울특별시,47840,30285,26615,21225,44.37
2020-07-13 00:00:00,경기도,17709,11012,9643,8066,45.55
2020-07-13 00:00:00,인천광역시,2879,1784,1554,1325,46.02
2020-07-13 00:00:00,서울,2421,1707,1374,1047,43.25
2020-07-13 00:00:00,충청남도,2203,1359,1192,1011,45.89
2020-07-13 00:00:00,경상북도,1911,1098,1009,902,47.2
2020-07-13 00:00:00,강원도,1733,1058,947,786,45.35
2020-07-13 00:00:00,경상남도,1647,930,833,814,49.42
2020-07-13 00:00:00,충청북도,1390,817,770,620,44.6
2020-07-13 00:00:00,,959,753,666,293,30.55
2020-07-13 00:00:00,전라남도,1291,709,693,598,46.32
2020-07-13 00:00:00,전라북도,1334,705,651,683,51.2
2020-07-13 00:00:00,부산광역시,1314,671,653,661,50.3
2020-07-13 00:00:00,대전광역시,1030,599,521,509,49.42
2020-07-13 00:00:00,경기,754,554,437,317,42.04
2020-07-13 00:00:00,대구광역시,888,484,457,431,48.54
2020-07-13 00:00:00,광주광역시,769,417,386,383,49.8
2020-07-13 00:00:00,제주특별자치도,651,337,353,298,45.78
2020-07-13 00:00:00,울산광역시,494,263,247,247,50
2020-07-13 00:00:00,세종특별자치시,326,191,192,134,41.1
2020-07-13 00:00:00,인천광역,118,93,69,49,41.53
2020-07-13 00:00:00,인천,89,60,41,48,53.93
2020-07-13 00:00:00,충남,85,59,50,35,41.18
2020-07-13 00:00:00,강원,71,47,35,36,50.7
2020-07-13 00:00:00,경남,62,41,30,32,51.61
2020-07-13 00:00:00,충북,42,34,24,18,42.86
2020-07-13 00:00:00,경북,52,33,26,26,50
2020-07-13 00:00:00,전남,49,28,19,30,61.22
2020-07-13 00:00:00,대구광역,35,23,18,17,48.57
2020-07-13 00:00:00,부산광역,29,22,16,13,44.83
2020-07-13 00:00:00,전북,35,22,14,21,60
2020-07-13 00:00:00,대전광역,30,20,12,18,60
2020-07-13 00:00:00,부산,31,20,17,14,45.16
2020-07-13 00:00:00,대전,24,19,9,15,62.5
2020-07-13 00:00:00,광주,26,16,9,17,65.38
2020-07-13 00:00:00,광주광역,20,14,7,13,65
2020-07-13 00:00:00,대구,25,14,17,8,32
2020-07-13 00:00:00,제주,19,13,11,8,42.11
2020-07-13 00:00:00,울산광역,13,11,9,4,30.77
2020-07-13 00:00:00,★★★★★★★★,12,11,5,7,58.33
2020-07-13 00:00:00,울,13,10,7,6,46.15
2020-07-13 00:00:00,울산,17,9,4,13,76.47
2020-07-13 00:00:00,제주도,13,7,8,5,38.46
