"MONTH","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
"2020-07",414592,173274,223300,191275,46.14
"2020-08",355359,150308,187283,168033,47.29
"2020-09",363644,152784,198843,164794,45.32
"2020-10",357137,154594,196345,160768,45.02
"2020-11",391061,164667,215374,175678,44.92
"2020-12",403726,164038,223532,180181,44.63
"2021-01",376381,157457,205224,171141,45.47
"2021-02",347907,150221,193846,154030,44.27
"2021-03",410516,168475,229151,181356,44.18
"2021-04",404668,166190,224820,179840,44.44
"2021-05",367869,155747,201900,165963,45.11
"2021-06",414775,171421,229727,185037,44.61
"2021-07",417644,171943,228724,188908,45.23
