"MED_DEPT_CD","MED_DEPT_NM","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
IMG,소화기내과,672,571,672,0,0
OG,산부인과,619,567,619,0,0
IMH,혈액종양내과,419,381,419,0,0
NS,신경외과,365,349,365,0,0
OS,정형외과,318,313,318,0,0
UR,비뇨의학과,315,310,315,0,0
NR,신경과,316,297,316,0,0
IMC,순환기내과,295,294,295,0,0
OT,안과,330,287,330,0,0
HBPS,간담췌외과,229,220,229,0,0
IMOC1,종양내과센터종양내과,242,216,242,0,0
IMN,신장내과,214,209,214,0,0
OL,이비인후과,213,207,213,0,0
TS,흉부외과,209,205,209,0,0
IMHM,내과(입원의학),211,204,211,0,0
POT,소아안과,159,158,159,0,0
BCCGS,유방센터외과,164,154,164,0,0
CRS,대장항문외과,152,150,152,0,0
IMR,호흡기내과,144,142,144,0,0
POS,소아정형외과,141,140,141,0,0
TVS,이식혈관외과,131,124,131,0,0
NB,신생아실(소아청소년과),118,118,118,0,0
PS,성형외과,112,111,112,0,0
NP,정신건강의학과,104,97,104,0,0
EMO,응급의학과(EMO),96,95,96,0,0
PEHO,소아청소년과(혈액종양),99,85,99,0,0
GIS,위장관외과,80,78,80,0,0
POL,소아이비인후과,79,78,79,0,0
CPU,임상약리학과,113,77,113,0,0
PENR,소아청소년과(신경),76,75,76,0,0
PUR,소아비뇨의학과,68,65,68,0,0
TCGS,갑상선센터외과,62,62,62,0,0
IMJ,류마티스내과,67,59,67,0,0
PDS,소아외과,58,57,58,0,0
PEDC,소아청소년과(심장),52,52,52,0,0
PPS,소아성형외과,51,51,51,0,0
PEEM,소아청소년과(내분비대사),41,39,41,0,0
PENE,소아청소년과(신생아),39,39,39,0,0
TCNM,갑상선센터핵의학과,37,37,37,0,0
IMI,감염내과,37,37,37,0,0
PNS,소아신경외과,40,36,40,0,0
PENP,소아청소년과(신장),39,35,39,0,0
PEGI,소아청소년과(소화기영양),32,31,32,0,0
PTS,소아흉부외과,29,28,29,0,0
PDID,소아청소년과(감염),28,28,28,0,0
LUIMR,폐암센터호흡기내과,27,26,27,0,0
IME,내분비대사내과,23,23,23,0,0
PARD,소아청소년과(호흡알레르기),23,22,23,0,0
OTS,장기이식센터,16,16,16,0,0
CHIMH,혈액암센터혈액종양내과,15,15,15,0,0
LIIMG,간암센터소화기내과,15,15,15,0,0
ANO2,통증센터,14,14,14,0,0
PEIR,소아청소년과(면역류마티스),13,13,13,0,0
DM,피부과,13,12,13,0,0
PRH,소아재활의학과,11,11,11,0,0
TRS,외상외과,10,10,10,0,0
IMA,알레르기내과,10,10,10,0,0
CHP,소아정신과,8,8,8,0,0
PEGD,소아청소년과(유전),7,7,7,0,0
RH,재활의학과,6,6,6,0,0
EMPO,소아응급(EMPO),5,5,5,0,0
PBIMG,췌장/담도암센터소화기내과,4,4,4,0,0
PPCT,소아청소년과(완화의료),4,4,4,0,0
CTC,임상시험센터외래,4,4,4,0,0
ICUGS,중환자의학(외과),2,2,2,0,0
ICUNS,중환자의학(신경외과),2,2,2,0,0
PBGS,췌장/담도암센터외과,2,2,2,0,0
ICUNR,중환자의학(신경과),2,2,2,0,0
LIGS,간암센터외과,1,1,1,0,0
PDM,소아피부과,1,1,1,0,0
GAIMG,위암센터소화기내과,1,1,1,0,0
PEIC,소아청소년과(중환자),1,1,1,0,0
