"DATE","SIDO_ADDR","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
2020-09-28 00:00:00.000,서울특별시,245,245,245,0,0
2020-09-28 00:00:00.000,경기도,111,111,111,0,0
2020-09-28 00:00:00.000,인천광역시,24,24,24,0,0
2020-09-28 00:00:00.000,충청남도,15,15,15,0,0
2020-09-28 00:00:00.000,강원도,12,12,12,0,0
2020-09-28 00:00:00.000,경상북도,12,12,12,0,0
2020-09-28 00:00:00.000,충청북도,11,11,11,0,0
2020-09-28 00:00:00.000,부산광역시,10,10,10,0,0
2020-09-28 00:00:00.000,경상남도,10,10,10,0,0
2020-09-28 00:00:00.000,광주광역시,9,9,9,0,0
2020-09-28 00:00:00.000,전라북도,7,7,7,0,0
2020-09-28 00:00:00.000,전라남도,7,7,7,0,0
2020-09-28 00:00:00.000,대전광역시,6,6,6,0,0
2020-09-28 00:00:00.000,대구광역시,4,4,4,0,0
2020-09-28 00:00:00.000,제주특별자치도,4,4,4,0,0
2020-09-28 00:00:00.000,세종특별자치시,4,4,4,0,0
2020-09-28 00:00:00.000,서울,3,3,3,0,0
2020-09-28 00:00:00.000,울산광역시,3,3,3,0,0
2020-09-28 00:00:00.000,경기,1,1,1,0,0
2020-10-05 00:00:00.000,서울특별시,855,848,855,0,0
2020-10-05 00:00:00.000,경기도,373,370,373,0,0
2020-10-05 00:00:00.000,인천광역시,70,70,70,0,0
2020-10-05 00:00:00.000,경상북도,63,63,63,0,0
2020-10-05 00:00:00.000,충청남도,55,55,55,0,0
2020-10-05 00:00:00.000,강원도,45,45,45,0,0
2020-10-05 00:00:00.000,전라북도,44,44,44,0,0
2020-10-05 00:00:00.000,경상남도,42,42,42,0,0
2020-10-05 00:00:00.000,대전광역시,39,39,39,0,0
2020-10-05 00:00:00.000,전라남도,38,38,38,0,0
2020-10-05 00:00:00.000,충청북도,32,32,32,0,0
2020-10-05 00:00:00.000,부산광역시,29,29,29,0,0
2020-10-05 00:00:00.000,광주광역시,26,26,26,0,0
2020-10-05 00:00:00.000,제주특별자치도,24,24,24,0,0
2020-10-05 00:00:00.000,대구광역시,20,20,20,0,0
2020-10-05 00:00:00.000,울산광역시,13,13,13,0,0
2020-10-05 00:00:00.000,서울,11,11,11,0,0
2020-10-05 00:00:00.000,세종특별자치시,10,10,10,0,0
2020-10-05 00:00:00.000,인천,2,2,2,0,0
2020-10-05 00:00:00.000,전북,2,2,2,0,0
2020-10-05 00:00:00.000,충남,2,2,2,0,0
2020-10-05 00:00:00.000,경남,1,1,1,0,0
2020-10-05 00:00:00.000,충북,1,1,1,0,0
2020-10-05 00:00:00.000,경기,1,1,1,0,0
2020-10-05 00:00:00.000,대구광역,1,1,1,0,0
2020-10-05 00:00:00.000,,1,1,1,0,0
2020-10-12 00:00:00.000,서울특별시,793,788,793,0,0
2020-10-12 00:00:00.000,경기도,361,361,361,0,0
2020-10-12 00:00:00.000,인천광역시,56,56,56,0,0
