"AGE_GROUP","SEX_TP_CD","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
"0 - 10",F,385,358,385,0,0
"0 - 10",M,444,419,444,0,0
"11 - 20",F,135,128,135,0,0
"11 - 20",M,201,190,201,0,0
"21 - 30",F,173,163,173,0,0
"21 - 30",M,171,160,171,0,0
"31 - 40",F,365,338,365,0,0
"31 - 40",M,187,178,187,0,0
"41 - 50",F,482,433,482,0,0
"41 - 50",M,301,279,301,0,0
"51 - 60",F,724,639,724,0,0
"51 - 60",M,593,544,593,0,0
"61 - 70",F,850,774,850,0,0
"61 - 70",M,981,897,981,0,0
"71 - 80",F,551,504,551,0,0
"71 - 80",M,673,629,673,0,0
"81 - 90",F,155,151,155,0,0
"81 - 90",M,161,154,161,0,0
"91 - 100",F,16,15,16,0,0
"91 - 100",M,12,10,12,0,0
OVER 100,F,2,2,2,0,0
