"AGE_GROUP","SEX_TP_CD","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
"0 - 10",F,455,430,455,0,0
"0 - 10",M,457,431,457,0,0
"11 - 20",F,239,224,239,0,0
"11 - 20",M,248,236,248,0,0
"21 - 30",F,202,194,202,0,0
"21 - 30",M,221,197,221,0,0
"31 - 40",F,354,326,354,0,0
"31 - 40",M,212,196,212,0,0
"41 - 50",F,492,468,492,0,0
"41 - 50",M,308,280,308,0,0
"51 - 60",F,705,658,705,0,0
"51 - 60",M,647,592,647,0,0
"61 - 70",F,906,800,906,0,0
"61 - 70",M,1001,901,1001,0,0
"71 - 80",F,593,537,593,0,0
"71 - 80",M,767,707,767,0,0
"81 - 90",F,169,162,169,0,0
"81 - 90",M,196,183,196,0,0
"91 - 100",F,10,10,10,0,0
"91 - 100",M,20,19,20,0,0
