"MONTH","HOSPITAL","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
"2020-10",강남,12965,5644,6222,6743,52.01
"2020-10",본원,234750,123049,125238,109494,46.64
"2020-10",소아,1,1,0,0,0
"2020-10",암병원,74079,35693,41925,32149,43.4
"2020-10",어린이,35331,18442,22960,12371,35.01
"2020-11",강남,15266,6688,6982,8284,54.26
"2020-11",본원,257482,131273,137609,119870,46.55
"2020-11",소아,4,4,0,0,0
"2020-11",암병원,81007,37823,46566,34439,42.51
"2020-11",어린이,37289,19439,24216,13073,35.06
"2020-12",강남,15399,6644,6973,8426,54.72
"2020-12",본원,266367,130823,143353,123012,46.18
"2020-12",소아,6,6,0,0,0
"2020-12",암병원,83223,37856,48375,34843,41.87
"2020-12",어린이,38715,19364,24831,13884,35.86
"2021-01",강남,12045,5516,5614,6431,53.39
"2021-01",본원,248054,125479,130668,117377,47.32
"2021-01",소아,3,3,0,0,0
"2021-01",암병원,77099,36045,43700,33395,43.31
"2021-01",어린이,39149,20369,25242,13907,35.52
"2021-02",강남,11085,5092,5330,5755,51.92
"2021-02",본원,228757,119021,122929,105824,46.26
"2021-02",소아,24,24,0,0,0
"2021-02",암병원,70226,33770,40921,29302,41.73
"2021-02",어린이,37800,19787,24665,13135,34.75
"2021-03",강남,13198,5963,6217,6981,52.89
"2021-03",본원,273841,135544,147848,125988,46.01
"2021-03",소아,4,4,0,0,0
"2021-03",암병원,83153,37812,48969,34184,41.11
"2021-03",어린이,40107,20314,26117,13990,34.88
"2021-04",강남,12271,5490,5945,6326,51.55
"2021-04",본원,269616,133501,144121,125493,46.55
"2021-04",소아,2,2,0,0,0
"2021-04",암병원,82548,37504,48396,34148,41.37
"2021-04",어린이,40042,20232,26360,13682,34.17
"2021-05",강남,11028,5081,5074,5954,53.99
"2021-05",본원,243949,124363,129307,114639,46.99
"2021-05",소아,3,3,0,0,0
"2021-05",암병원,76375,35909,43971,32404,42.43
"2021-05",어린이,36337,18788,23546,12791,35.2
"2021-06",강남,13031,5780,6039,6992,53.66
"2021-06",본원,276485,138169,148156,128322,46.41
"2021-06",소아,4,4,0,0,0
"2021-06",암병원,85365,39032,49546,35819,41.96
"2021-06",어린이,39763,20471,25982,13781,34.66
"2021-07",강남,13784,6322,6052,7731,56.09
"2021-07",본원,278332,137632,147589,130738,46.97
"2021-07",소아,2,2,0,0,0
"2021-07",암병원,83572,38277,48261,35307,42.25
"2021-07",어린이,41702,21265,26828,14874,35.67
"2021-08",강남,12963,6042,5722,7241,55.86
"2021-08",본원,275337,136808,145516,129820,47.15
"2021-08",소아,3,3,0,0,0
"2021-08",암병원,82827,37910,48419,34407,41.54
"2021-08",어린이,44398,23015,28572,15826,35.65
"2021-09",강남,12471,5605,5651,6820,54.69
"2021-09",본원,258522,131116,136886,121317,46.93
"2021-09",소아,9,9,0,0,0
"2021-09",암병원,76867,35956,45212,31653,41.18
"2021-09",어린이,38755,19944,25318,13437,34.67
