"MONTH","HOSPITAL","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
"2020-12",강남,15391,6636,6973,8418,54.69
"2020-12",본원,275192,130924,152182,123005,44.7
"2020-12",소아,6,6,0,0,0
"2020-12",암병원,83847,37862,49000,34842,41.55
"2020-12",어린이,40775,19410,26893,13882,34.05
"2021-01",강남,12044,5513,5614,6430,53.39
"2021-01",본원,257023,125640,139641,117373,45.67
"2021-01",소아,3,3,0,0,0
"2021-01",암병원,77790,36049,44394,33392,42.93
"2021-01",어린이,41168,20443,27265,13903,33.77
"2021-02",강남,11075,5085,5331,5744,51.86
"2021-02",본원,236882,119148,131060,105817,44.67
"2021-02",소아,24,24,0,0,0
"2021-02",암병원,70790,33776,41485,29302,41.39
"2021-02",어린이,39804,19835,26669,13135,33
"2021-03",강남,13135,5904,6217,6918,52.67
"2021-03",검사PACT_ID,21,0,0,0,0
"2021-03",본원,282687,135724,156702,125978,44.56
"2021-03",소아,4,4,0,0,0
"2021-03",암병원,83885,37822,49703,34182,40.75
"2021-03",어린이,42214,20372,28225,13989,33.14
"2021-04",강남,12188,5410,5945,6243,51.22
"2021-04",본원,278763,133685,153279,125482,45.01
"2021-04",소아,2,2,0,0,0
"2021-04",암병원,83192,37506,49044,34144,41.04
"2021-04",어린이,42174,20283,28493,13681,32.44
"2021-05",강남,10915,4976,5074,5841,53.51
"2021-05",본원,253091,124581,138465,114623,45.29
"2021-05",소아,4,4,0,0,0
"2021-05",암병원,77035,35913,44638,32397,42.05
"2021-05",어린이,38544,18851,25756,12788,33.18
"2021-06",강남,12925,5683,6039,6886,53.28
"2021-06",본원,286310,138345,157999,128304,44.81
"2021-06",소아,4,4,0,0,0
"2021-06",암병원,86069,39034,50254,35815,41.61
"2021-06",어린이,42011,20538,28238,13773,32.78
"2021-07",강남,13578,6121,6053,7524,55.41
"2021-07",본원,287910,137799,157193,130712,45.4
"2021-07",소아,2,2,0,0,0
"2021-07",암병원,84255,38279,48954,35297,41.89
"2021-07",어린이,43940,21318,29069,14871,33.84
"2021-08",강남,12824,5911,5722,7102,55.38
"2021-08",본원,285366,137038,155586,129778,45.48
"2021-08",소아,3,3,0,0,0
"2021-08",암병원,83554,37912,49156,34397,41.17
"2021-08",어린이,46722,23075,30900,15822,33.86
"2021-09",강남,12427,5563,5651,6776,54.53
"2021-09",본원,268172,131340,146636,121217,45.2
"2021-09",소아,10,10,0,0,0
"2021-09",암병원,77424,35955,45782,31640,40.87
"2021-09",어린이,41004,20006,27579,13425,32.74
"2021-10",강남,15019,7282,6330,8689,57.85
"2021-10",본원,272057,134299,144815,127122,46.73
"2021-10",소아,4,4,0,0,0
"2021-10",암병원,79470,37203,45830,33635,42.32
"2021-10",어린이,40901,20209,26896,14005,34.24
"2021-11",강남,16199,7532,6865,9334,57.62
"2021-11",본원,302092,145539,163377,138599,45.88
"2021-11",소아,11,11,0,0,0
"2021-11",암병원,86218,39143,50006,36208,42
"2021-11",어린이,44130,21656,29500,14630,33.15
