"MED_DEPT_CD","MED_DEPT_NM","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
DR,영상의학과,39756,32935,634,39122,98.41
IMC,순환기내과,15700,12539,11492,4208,26.8
NR,신경과,13929,11467,10373,3556,25.53
IMG,소화기내과,16314,10670,8502,7812,47.89
OT,안과,11198,8558,8781,2417,21.58
IME,내분비대사내과,12416,8442,7212,5204,41.91
IMOC1,종양내과센터종양내과,17841,8039,9901,7940,44.5
NP,정신건강의학과,9290,7532,7456,1834,19.74
IMN,신장내과,12698,7033,8154,4544,35.79
IMR,호흡기내과,8952,6201,4194,4758,53.15
OG,산부인과,11403,6011,6750,4653,40.81
BCCGS,유방센터외과,8993,5278,4509,4484,49.86
HCS,강남센터,5499,5190,3894,1605,29.19
OS,정형외과,6542,5169,4434,2108,32.22
HCSO,강남클리닉,8091,4923,1103,6988,86.37
DM,피부과,6239,4822,5080,1159,18.58
IMI,감염내과,5238,4414,4789,449,8.57
IMJ,류마티스내과,5479,4334,4184,1295,23.64
MCI,제증명발급,4614,4297,194,4420,95.8
NM,핵의학과,4860,4201,652,4208,86.58
FM,가정의학과,5202,4086,3693,1509,29.01
IMZ,내과(일반),4432,4028,710,3722,83.98
UR,비뇨의학과,5721,3958,2875,2846,49.75
NS,신경외과,5278,3782,3013,2265,42.91
OL,이비인후과,5006,3624,2981,2025,40.45
CVC,심혈관센터,3668,3087,6,3662,99.84
EMO,응급의학과(EMO),3971,2945,84,3887,97.88
UPCUR,비뇨암센터비뇨의학과,4362,2812,2696,1666,38.19
POT,소아안과,3140,2702,2689,451,14.36
CP,진단검사의학과,3156,2592,2468,688,21.8
LIIMG,간암센터소화기내과,3687,2315,1942,1745,47.33
TCIME,갑상선센터내분비대사내과,3627,2303,1701,1926,53.1
CHIMH,혈액암센터혈액종양내과,4558,2231,2580,1978,43.4
RH,재활의학과,4037,2180,1405,2632,65.2
PEEM,소아청소년과(내분비대사),2854,2118,1799,1055,36.97
PENR,소아청소년과(신경),2450,2045,1928,522,21.31
TS,흉부외과,3030,2036,1862,1168,38.55
TVS,이식혈관외과,2756,1984,1938,818,29.68
ANO2,통증센터,2417,1944,2031,386,15.97
HBPS,간담췌외과,2984,1891,1603,1381,46.28
IMA,알레르기내과,2005,1768,1539,466,23.24
CTC,임상시험센터외래,2325,1748,1980,345,14.84
PEDC,소아청소년과(심장),2050,1631,1411,639,31.17
CCGS,대장암센터외과,2300,1630,1474,826,35.91
CHP,소아정신과,2133,1621,1667,466,21.85
POS,소아정형외과,1966,1584,1480,486,24.72
ROCTR,방사선종양센터방사선종양학과,1894,1563,1451,443,23.39
HPC,건강증진센터,2184,1480,1619,565,25.87
PED,소아청소년과,1763,1458,12,1751,99.32
LUTS,폐암센터흉부외과,2187,1430,1286,901,41.2
CCTCO,종양임상시험센터외래,3281,1423,2337,944,28.77
IMH,혈액종양내과,2175,1394,962,1213,55.77
LUIMR,폐암센터호흡기내과,1934,1292,1116,818,42.3
GYCOG,부인암센터산부인과,1687,1283,1211,476,28.22
TOHOL,갑상선/구강/두경부암센터이비인후과,1626,1187,1042,584,35.92
SLEG,소화기내시경센터(암병원),1331,1178,590,741,55.67
NUGDW,암병원 항암낮병동,1688,1154,1685,3,0.18
GAGS,위암센터외과,1799,1064,873,926,51.47
TCGS,갑상선센터외과,1814,1041,892,922,50.83
POL,소아이비인후과,1382,1023,918,464,33.57
PEHOO,소아청소년암센터외래,2610,994,1814,796,30.5
EMPO,소아응급(EMPO),1148,982,10,1138,99.13
PS,성형외과,1685,962,1280,405,24.04
PENP,소아청소년과(신장),1362,945,918,444,32.6
PNS,소아신경외과,1179,901,764,415,35.2
PDM,소아피부과,951,897,814,137,14.41
PUR,소아비뇨의학과,1063,883,823,240,22.58
TRC,방사선치료센터,5827,878,5321,506,8.68
ESCOS,근골격종양센터정형외과,1278,875,787,491,38.42
BSCNS,뇌종양센터신경외과,1232,836,670,562,45.62
PBIMG,췌장/담도암센터소화기내과,2125,808,1021,1104,51.95
CRS,대장항문외과,1035,761,439,596,57.58
PEGI,소아청소년과(소화기영양),1124,760,686,438,38.97
PRH,소아재활의학과,1286,712,535,751,58.4
CVCC,(성남)생활치료센터,3727,627,1798,1929,51.76
CCIMG,대장암센터소화기내과,834,607,482,352,42.21
OSHS,정형(수부)외과,713,598,552,161,22.58
PDS,소아외과,1145,589,480,665,58.08
HIP,직원신체검사,565,564,18,547,96.81
GAIMG,위암센터소화기내과,858,553,484,374,43.59
PMCNP,암통합케어센터정신건강센터,548,505,470,78,14.23
PBGS,췌장/담도암센터외과,709,492,358,351,49.51
CICDR,종양영상센터영상의학과,637,477,460,177,27.79
PDID,소아청소년과(감염),601,475,494,107,17.8
PMCRH,암통합케어센터암재활센터,1316,434,308,1008,76.6
