"DATE","SIDO_ADDR","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
2020-06-29 00:00:00.000,서울특별시,27988,18839,14651,13337,47.65
2020-06-29 00:00:00.000,경기도,10266,6762,5386,4880,47.54
2020-06-29 00:00:00.000,인천광역시,1665,1078,908,757,45.47
2020-06-29 00:00:00.000,서울,1365,1028,772,593,43.44
2020-06-29 00:00:00.000,충청남도,1272,792,638,634,49.84
2020-06-29 00:00:00.000,경상북도,1150,699,561,589,51.22
2020-06-29 00:00:00.000,강원도,961,624,513,448,46.62
2020-06-29 00:00:00.000,경상남도,896,534,428,468,52.23
2020-06-29 00:00:00.000,,654,505,414,240,36.7
2020-06-29 00:00:00.000,충청북도,765,471,412,353,46.14
2020-06-29 00:00:00.000,전라북도,744,455,361,383,51.48
2020-06-29 00:00:00.000,전라남도,734,433,369,365,49.73
2020-06-29 00:00:00.000,부산광역시,728,425,360,368,50.55
2020-06-29 00:00:00.000,대전광역시,625,390,315,310,49.6
2020-06-29 00:00:00.000,경기,436,324,230,206,47.25
2020-06-29 00:00:00.000,광주광역시,459,274,220,239,52.07
2020-06-29 00:00:00.000,대구광역시,437,268,208,229,52.4
2020-06-29 00:00:00.000,제주특별자치도,380,225,209,171,45
2020-06-29 00:00:00.000,울산광역시,307,184,150,157,51.14
2020-06-29 00:00:00.000,세종특별자치시,229,146,114,115,50.22
2020-06-29 00:00:00.000,인천광역,94,70,46,48,51.06
2020-06-29 00:00:00.000,충남,60,44,29,31,51.67
2020-06-29 00:00:00.000,인천,50,39,26,24,48
2020-06-29 00:00:00.000,경북,54,36,34,20,37.04
2020-06-29 00:00:00.000,강원,36,27,18,18,50
2020-06-29 00:00:00.000,경남,35,22,16,19,54.29
2020-06-29 00:00:00.000,전북,32,19,7,25,78.13
2020-06-29 00:00:00.000,부산광역,24,18,16,8,33.33
2020-06-29 00:00:00.000,광주광역,24,18,14,10,41.67
2020-06-29 00:00:00.000,충북,26,17,16,10,38.46
2020-06-29 00:00:00.000,전남,22,13,5,17,77.27
2020-06-29 00:00:00.000,대전,16,10,6,10,62.5
2020-06-29 00:00:00.000,대구,14,10,5,9,64.29
2020-06-29 00:00:00.000,대전광역,13,10,10,3,23.08
2020-06-29 00:00:00.000,★★★★★★★★,11,9,2,9,81.82
2020-06-29 00:00:00.000,대구광역,11,9,7,4,36.36
2020-06-29 00:00:00.000,부산,11,9,4,7,63.64
2020-06-29 00:00:00.000,광주,10,8,7,3,30
2020-06-29 00:00:00.000,울산,6,5,5,1,16.67
2020-06-29 00:00:00.000,남,5,4,3,2,40
2020-06-29 00:00:00.000,제주,7,4,4,3,42.86
2020-06-29 00:00:00.000,기,3,3,3,0,0
2020-06-29 00:00:00.000,울산광역,5,3,2,3,60
2020-06-29 00:00:00.000,울,3,3,3,0,0
2020-06-29 00:00:00.000,제주도,4,3,2,2,50
2020-06-29 00:00:00.000,서울시,2,2,1,1,50
