"AGE_GROUP","SEX_TP_CD","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
"0 - 10",F,13535,6289,7732,5803,42.87
"0 - 10",M,15759,7165,9085,6674,42.35
"11 - 20",F,7457,3229,4247,3210,43.05
"11 - 20",M,9025,3997,5141,3884,43.04
"21 - 30",F,11983,6180,7112,4871,40.65
"21 - 30",M,9558,4958,5561,3997,41.82
"31 - 40",F,20004,8863,11097,8907,44.53
"31 - 40",M,10796,5518,6201,4595,42.56
"41 - 50",F,32302,12184,15777,16525,51.16
"41 - 50",M,16361,7486,8782,7579,46.32
"51 - 60",F,44288,17343,22019,22269,50.28
"51 - 60",M,28469,11876,15068,13401,47.07
"61 - 70",F,49091,20414,25373,23718,48.31
"61 - 70",M,42960,16690,22529,20431,47.56
"71 - 80",F,31844,14097,17384,14460,45.41
"71 - 80",M,32386,12711,17277,15109,46.65
"81 - 90",F,8918,4330,5135,3783,42.42
"81 - 90",M,9634,3990,5317,4317,44.81
"91 - 100",F,536,258,321,215,40.11
"91 - 100",M,554,258,331,223,40.25
OVER 100,F,3,3,2,1,33.33
OVER 100,M,58,53,55,3,5.17
