"MONTH","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE","ER_COUNT","OUT_COUNT"
"2020-11",403507,164780,227881,175616,43.52,4353,164630
"2020-12",415211,164140,235048,180147,43.39,3421,164021
"2021-01",388028,157624,216914,171098,44.09,3399,157436
"2021-02",358575,150355,204545,153998,42.95,3646,150204
"2021-03",421946,168436,240847,181067,42.91,3213,168240
"2021-04",416319,166146,236761,179550,43.13,3922,165959
"2021-05",379589,155731,213933,165649,43.64,4182,155497
"2021-06",427319,171459,242530,184778,43.24,4606,171248
"2021-07",429685,171765,241269,188404,43.85,4338,171580
"2021-08",428469,172461,241364,187099,43.67,4563,172228
"2021-09",399037,163087,225648,173058,43.37,4918,162807
"2021-10",407451,167735,223871,183451,45.02,4769,167486
"2021-11",448650,180348,249748,198771,44.3,4181,180072
