"AGE_GROUP","SEX_TP_CD","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
"0 - 10",F,13271,6110,7882,5389,40.61
"0 - 10",M,15948,7136,9428,6520,40.88
"11 - 20",F,9547,4207,5448,4099,42.93
"11 - 20",M,10690,4890,6219,4471,41.82
"21 - 30",F,13168,6434,7938,5230,39.72
"21 - 30",M,11203,5405,6668,4535,40.48
"31 - 40",F,21059,8835,11761,9298,44.15
"31 - 40",M,11645,5629,6754,4891,42
"41 - 50",F,35129,12810,17629,17500,49.82
"41 - 50",M,16959,7532,9357,7602,44.83
"51 - 60",F,45882,17657,23389,22493,49.02
"51 - 60",M,30161,11937,16318,13843,45.9
"61 - 70",F,50738,20548,26976,23762,46.83
"61 - 70",M,44785,16896,24152,20633,46.07
"71 - 80",F,33448,14444,18586,14862,44.43
"71 - 80",M,33339,12751,18276,15063,45.18
"81 - 90",F,9338,4243,5474,3864,41.38
"81 - 90",M,10049,4076,5668,4381,43.6
"91 - 100",F,530,263,329,201,37.92
"91 - 100",M,673,307,405,268,39.82
OVER 100,F,5,5,5,0,0
OVER 100,M,65,59,62,3,4.62
