"YEAR","HSP_TP_CD","ICD9CM_CD","ICD9CM_NM","MED_DEPT_CD","ROWCNT","VISITCNT","PCNT","(SELECTDEPT_NMFROMLT_STM_DEPTLDWHERELD.DEPT_CD=A.MED_DEPT_CD)"
"2021","1","13.71",Insertion of intraocular lens prosthesis at time of cataract,OT,2085,2083,1506,안과
"2021","1","85.21",Local excision of lesion of breast,BEN,821,821,821,유방내분비외과
"2021","1","14.74",Other mechanical vitrectomy,OT,771,769,697,안과
"2021","1","68.9",Other and unspecified hysterectomy,OG,686,686,686,산부인과
"2021","1","57.49",Other transurethral excision or destruction of lesion or tissue of bla,UR,893,887,673,비뇨의학과
"2021","1","60.5",Radical prostatectomy,UR,495,495,495,비뇨의학과
"2021","1","48.63",Other anterior resection of rectum,CRS,485,484,483,대장항문외과
"2021","1","81.54",Total knee replacement,OS,599,459,453,정형외과
"2021","1","32.4",Lobectomy of lung,TS,449,449,448,흉부외과
"2021","1","39.72",Endovascular repair or occlusion of head and neck vessels,NS,444,442,438,신경외과
"2021","1","74.99",Other cesarean section of unspecified type,OG,424,424,424,산부인과
"2021","1","68.12",Hysteroscopy,OG,404,404,398,산부인과
"2021","1","55.5",Complete nephrectomy,UR,395,395,393,비뇨의학과
"2021","1","06.2",Unilateral thyroid lobectomy,BEN,374,374,374,유방내분비외과
"2021","1","32.29",Other local excision or destruction of lesion or tissue of lung,TS,359,359,354,흉부외과
"2021","1","39.27",Arteriovenostomy for renal dialysis,TVS,368,366,347,이식혈관외과
"2021","1","85.4",Mastectomy,BEN,339,339,339,유방내분비외과
"2021","1","43.6",Partial gastrectomy with anastomosis to duodenum,GIS,334,334,334,위장관외과
"2021","1","65.2",Local excision or destruction of ovarion lesion or tissue,OG,330,330,330,산부인과
"2021","1","22.9",Other operations on nasal sinuses,OL,320,320,319,이비인후과
"2021","1","51.23",Laparoscopic cholecystectomy,HBPS,315,315,315,간담췌외과
"2021","1","52.7",Radical pancreaticoduodenectomy,HBPS,280,280,280,간담췌외과
"2021","1","50.22",Partial hepatectomy,HBPS,275,275,274,간담췌외과
"2021","1","65.4",Unilateral salpingo.oophorectomy,OG,261,261,261,산부인과
"2021","1","83.39",Excision of lesion of other soft tissue,PS,270,270,260,성형외과
"2021","1","01.59",Other excision or destruction of lesion or tissue of brain,NS,259,257,254,신경외과
"2021","1","03.09",Other exploration and decompression of spinal canal,NS,243,240,240,신경외과
"2021","1","21.88",Other septoplasty,OL,238,238,238,이비인후과
"2021","1","81.51",Total hip replacement,OS,250,241,238,정형외과
